trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.5504000000000013, 'e': 0.0686513634748878}",20,10,19.86698420981735,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5493000000000013, 'e': 0.06767566809449765}",25,1,36.35282741501455,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5482000000000014, 'e': 0.06671908162002249}",20,0,29.40455235621671,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.5471000000000014, 'e': 0.06578118468543111}",35,23,23.619554510480103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5460000000000014, 'e': 0.064861568210716}",30,17,24.85035149223003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5449000000000014, 'e': 0.06395983312962512}",25,7,-8.371355736501362,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5438000000000014, 'e': 0.06307559012511736}",20,13,12.21284455425049,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5427000000000014, 'e': 0.062208459372309476}",20,0,2.0141717058233093,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.5416000000000014, 'e': 0.06135807028869043}",25,17,11.541147963334886,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5405000000000014, 'e': 0.060524061291385746}",25,11,23.54127203269783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5394000000000014, 'e': 0.05970607956126067}",20,12,11.276725468965122,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5383000000000014, 'e': 0.058903780813659025}",35,23,3.165147744766986,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.5372000000000015, 'e': 0.05811682907557949}",25,0,37.30745854938279,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5361000000000015, 'e': 0.05734489646909871}",20,7,22.294840791096714,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5350000000000015, 'e': 0.05658766300085481}",25,20,9.916336305460842,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5339000000000015, 'e': 0.05584481635741303}",25,14,18.998451860505174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5328000000000015, 'e': 0.05511605170633832}",25,0,21.58276261858152,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.5317000000000015, 'e': 0.05440107150280733}",35,17,31.953056854973994,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5306000000000015, 'e': 0.05369958530159581}",25,17,10.520231143399966,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5295000000000015, 'e': 0.05301130957428354}",20,7,22.85614427825063,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5284000000000015, 'e': 0.05233596753152355}",20,0,28.026622212123875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5273000000000015, 'e': 0.05167328895022661}",25,0,-6.786774103667561,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
158,False,"{'a': 0.5262000000000016, 'e': 0.05102301000551778}",30,0,44.768606102171866,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5251000000000016, 'e': 0.050384873107324785}",25,8,17.700733162870165,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5240000000000016, 'e': 0.049758626741463335}",20,9,24.501747163211434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5229000000000016, 'e': 0.04914402531508845}",20,0,31.387211378175554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5218000000000016, 'e': 0.04854082900638461}",25,7,27.41209590707328,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5207000000000016, 'e': 0.0479488036183715}",20,0,-9.918419148951006,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
164,False,"{'a': 0.5196000000000016, 'e': 0.04736772043670636}",30,15,30.53173368201684,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5185000000000016, 'e': 0.0467973560913669}",25,3,31.648857957477922,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5174000000000016, 'e': 0.046237492422102955}",20,0,24.28907445223918,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5163000000000016, 'e': 0.04568791634754787}",20,0,18.147455364676457,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.5152000000000017, 'e': 0.04514841973788428}",20,16,7.462340694045758,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5141000000000017, 'e': 0.04461879929096241}",20,0,35.46009128701027,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5130000000000017, 'e': 0.04409885641177115}",20,13,0.011991989906919187,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5119000000000017, 'e': 0.043588397095166556}",20,0,28.913146319260253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5108000000000017, 'e': 0.0430872318117639}",25,1,38.03495291863116,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5097000000000017, 'e': 0.04259517539690364}",30,16,26.72097658428122,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5086000000000017, 'e': 0.04211204694260297}",20,16,7.145348730984895,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5075000000000017, 'e': 0.04163766969240849}",20,9,19.059115458683742,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5064000000000017, 'e': 0.04117187093906728}",20,11,16.407529942054026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5053000000000017, 'e': 0.040714481924936756}",30,7,-2.6845787686323748,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
